# High-quality Arabidopsis PPIs dataset, a total of 11858 PPIs.
Protein1	Protein2
O24408	Q9ZTX9
Q38827	Q9ZTX9
Q38824	Q9ZTX9
Q9XFM0	Q9ZTX9
O24408	Q8L7G0
O24409	Q9C5W9
Q38824	Q9C5W9
P93024	Q38827
O24408	Q9C5W9
Q8L7G0	Q9XED8
Q8L7G0	Q9C5W9
Q9C5W9	Q9XED8
O24409	Q9ZTX8
O24629	O64816
Q96524	Q9SYX2
C6KIE6	Q9XIB5
Q9FHH5	Q9S752
Q3E965	Q9S752
Q3EAV6	Q9S752
Q8S8A0	Q9S752
Q3E8L0	Q9S752
O81775	Q9S752
Q9S752	Q9SW07
Q39011	Q9CAD5
F4IHS2	Q00958
Q00958	Q6EVK6
Q8GW31	Q9SJF3
Q9C658	Q9SJF3
Q8GW31	Q9C658
Q9LTT8	Q9SJF3
B9DFC1	Q9FG61
O82481	Q93ZY2
O82481	Q0WNP7
O81472	Q39024
P93002	Q8L746
Q5ICL9	Q8L746
Q2QAV0	Q9LDN0
Q2QAV0	Q8L7Y8
Q94EI3	Q94FB9
Q94FB9	Q9SRQ3
P28187	Q8GYA4
P28187	Q9MAH4
Q8GYA4	Q8RWS9
Q8LPQ8	Q9MAH4
Q93YP9	Q9CB01
Q8LAI1	Q93YP9
P59220	Q93YP9
P92958	Q93YP9
Q0WUU6	Q9CB01
Q8S307	Q9SLH3
Q9LQT8	Q9SLH3
Q8S307	Q9C8Y3
Q8S307	Q9LF53
Q8S307	Q9LQT8
Q8GZM7	Q8S307
Q8S307	Q8W2F3
P14713	Q9SGQ0
P14713	Q9SLB9
Q9LKZ3	Q9M384
P25859	Q9ZR04
O65282	P21276
A7XGN8	Q39241
Q5YDB6	Q9ZVD0
O04492	Q5YDB6
Q9C9A5	Q9LN63
Q9SB51	Q9SZJ5
O23254	Q9SB51
Q0WWQ1	Q9LVK3
C0LGT6	Q03250
Q03250	Q9FL28
O04663	Q03250
Q8S924	Q94CD5
Q9FFH0	Q9FKA0
P54144	Q9SQH9
P42818	Q9FR53
O49160	P42818
P42818	Q9C5Z2
P28188	P29448
P29448	P36397
P25858	P29448
P29448	Q96293
O23657	P29448
P29448	Q9ZSA2
P29448	Q9SMQ6
O04922	P29448
O04486	P29448
O48646	P29448
P22953	P29448
O82663	P29448
P29448	Q9XEX2
P29448	P53492
P54609	Q94JZ8
O22467	Q8L6Y4
O22467	Q9SUM4
O22467	Q946J8
O22467	Q9ZSM8
O22446	O22467
F4IZC5	Q8H0X6
Q38854	Q9SDN0
Q8VYU8	Q940B8
Q9LJF5	Q9LXW7
Q9LJF5	Q9ZVD5
P84634	Q8H1D4
P93022	Q39011
Q39011	Q9FII5
Q39011	Q8RYC8
Q9SCZ4	Q9SRY3
F4J8D3	Q9FKM4
F4J8D3	Q0WLS8
O04209	Q0WNJ6
P93654	Q9SA23
O49377	P93654
P93654	Q94KK7
P59271	P93654
P93654	Q9M0Y8
P93654	Q9SPE6
P93654	Q9LFP1
P93654	Q9ZTW3
P93654	Q9FMR5
Q39233	Q9SA23
Q38935	Q39233
Q39233	Q9SPE6
O49377	Q39233
P43287	Q8VZU2
Q8VZU2	Q9ZTW3
P93004	Q8VZU2
P61837	Q8VZU2
Q8VZU2	Q9ZQZ8
Q8VZU2	Q9FF53
P59271	Q8VZU2
Q06611	Q8VZU2
Q8VZU2	Q9SVC2
Q9LK09	Q9SL48
P59271	Q9LK09
O65719	Q9LK09
Q9LK09	Q9M0Y8
Q9LK09	Q9S9N1
Q9LK09	Q9SPE6
O49048	Q9SUJ1
P59271	Q9SVC2
Q9SVC2	Q9ZTW3
P59271	Q9ZQZ8
Q9ZSD4	Q9ZTW3
P33487	P43298
C0LGT6	Q94F62
P0DKH5	Q9XGM3
Q84JB8	Q9LVR8
Q3EC92	Q9STG1
Q1H5D2	Q9C595
Q8VZR6	Q9SHI7
Q9M345	Q9SHI7
Q9M8T0	Q9SHI7
Q56ZZ7	Q9FWR4
Q8RWI9	Q9SU67
P35402	Q8VYP7
Q9C835	Q9M345
Q9C835	Q9M8T0
Q8LAI1	Q9XFM6
Q8LAA6	Q8LAI1
O82598	Q41975
P19456	Q9FN37
Q8LAA6	Q9SHI7
Q9S752	Q9SHI7
Q9LSP7	Q9S752
Q9M622	Q9SHI7
Q8LAA6	Q9M9S6
P43287	Q8LAA6
O65787	Q9SID2
P43286	Q8LAA6
P48491	Q9SIA5
P48491	Q9SID2
Q8LAA6	Q944J0
P19456	Q9C7D7
P19456	Q9STK6
P19456	Q8RX66
Q38922	Q9C7S5
Q39222	Q6NMA7
P93004	Q9SHI7
Q8W037	Q9SHI7
P93004	Q8W037
C0LGW6	Q9XFM6
Q08733	Q39196
P43286	Q39196
P43287	P93004
P43287	Q39196
Q6NMA7	Q9SMR4
P93004	Q9LVU1
Q8W037	Q944J0
A9X4U2	Q96285
Q9C8J8	Q9ZRE2
Q9CAL3	Q9LUV2
C0LGL9	Q9SHI7
C0LGF4	Q9SHI7
Q9C8J8	Q9SHI7
Q39241	Q9LFB8
P48491	Q9CAL3
O22476	Q9M376
Q38922	Q9C8J8
Q9CAL3	Q9SMR4
Q9CAL3	Q9FK68
Q9CAL3	Q9SU67
C0LGW2	Q9ASS4
Q08733	Q8LAA6
Q8RXN0	Q9SHI7
O81077	Q9FWR4
P43287	Q08733
O81077	Q9FK68
Q08733	Q84JB8
Q08733	Q8LG50
Q9SLC3	Q9SZG0
Q84N34	Q9SLC3
Q9SHI7	Q9SLC3
Q944K2	Q9XFM6
Q01474	Q944K2
Q9M021	Q9SHI7
Q96247	Q9SQT9
Q06611	Q08733
Q06611	Q9SHI7
Q06611	Q9LSP7
Q94K66	Q9LXV3
Q39222	Q9FIJ0
Q38922	Q9FIJ0
O23657	Q9FIJ0
Q9FIJ0	Q9FK68
Q94B38	Q96283
Q9SHI7	Q9ZR72
Q42371	Q9XFM6
A8R7E6	Q9XIW0
A8R7E6	Q9SYT0
A8R7E6	Q944Q0
Q94CI7	Q9LSJ8
O82308	Q9FRR1
O64816	P28185
Q9FH21	Q9SFE9
Q8GUN1	Q9FRR1
Q8LBF7	Q9FRR1
C0LGK4	Q9FN37
Q8LAA6	Q9MAH4
Q8L4X4	Q9LW56
Q9FLN5	Q9FMV7
Q6AWW5	Q8S8Y9
Q8LAA6	Q9ZPS7
Q8LAA6	Q8RWW1
F4KIB2	Q8LAA6
Q8RWE9	Q8W1D5
Q6AWW5	Q9SHI7
Q9SHI7	Q9SQV0
Q9LSP7	Q9SQV0
P92942	Q9SHI7
O82316	Q9SHI7
Q9SHI7	Q9ZU96
Q38873	Q9SHI7
Q9LJL9	Q9SHI7
Q38873	Q9LSP7
Q8VZU9	Q9LSP7
Q8VZU9	Q9SHI7
Q9SHI7	Q9ZS88
O23304	Q9LSP7
O23304	Q9SHI7
Q9FGJ6	Q9SHI7
Q8RX29	Q9SHI7
Q6AWX4	Q9SHI7
Q8RX29	Q9LSP7
Q9FE70	Q9SHI7
P0DH91	Q9C821
Q9M2E2	Q9ZR79
Q9C821	Q9SHI7
Q9FIH3	Q9SHI7
Q9SHI7	Q9ZW11
Q9LRT1	Q9SHI7
Q9SHI7	Q9ZR79
Q9SHI7	Q9XEC8
Q9FEP7	Q9SHI7
Q6AWW5	Q9FVS6
Q9C994	Q9LUV2
F4HPH2	Q9LUV2
Q9LUV2	Q9M2D8
Q1H5D2	Q6NMD6
Q9LUV2	Q9ZUN5
Q08733	Q9M2V7
P57752	Q6AWW5
P57752	Q8H199
P57752	Q9C821
P30302	Q8L4Y2
Q39241	Q9FVV9
O49545	Q9FVV9
Q38873	Q39241
Q39241	Q9LJL9
Q39241	Q9LVD9
C0LGK4	Q39241
O22938	Q9XIC7
Q39241	Q8LPL2
Q1H5D2	Q8RXL7
Q39241	Q8H199
Q9C803	Q9FWR4
Q9FWR4	Q9ZUN5
O65554	Q9LXA5
Q8LPL2	Q9FWR4
Q8GUN1	Q9FWR4
Q9C994	Q9FWR4
F4HPH2	Q9FWR4
Q1H5D2	Q9FWR4
F4JZM4	Q9FWR4
P48491	Q9M2D8
P48491	Q8LPL2
F4HPH2	P48491
Q9FVV9	Q9LVU1
Q9M2Z4	Q9ZU96
Q9SMR4	Q9SYK5
Q9LVU1	Q9ZU96
Q6DBM8	Q9M2Z4
O64816	Q9STK6
O49717	Q9FLX5
O22971	O49717
O49717	Q9LDT0
Q38873	Q5PNS9
O49717	Q9T052
Q38873	Q9C835
Q8L7U0	Q9LJL9
Q8VZU9	Q9M2Z4
Q8VZU9	Q9ZS88
O22622	Q9SY29
O04834	Q9SZ51
Q9LVY7	Q9SZ51
F4I4Q3	Q8RWW1
Q94CG2	Q9ZPS7
F4KIB2	Q2HIM5
Q2HIM5	Q9ZPS7
Q8L9S0	Q9ZPS7
A0A178UUY0	O22100
Q9LVD9	Q9SQT9
Q9C994	Q9SK39
Q9C9F7	Q9LVD9
Q38922	Q8GUN1
Q9C7D7	Q9LY32
Q9C7D7	Q9M2A0
Q8LPL2	Q9FK68
Q8LPL2	Q9SMR4
Q9M2D8	Q9SU67
A9X4U2	Q9ZR79
Q9LXA5	Q9STK6
Q9LDT0	Q9STK6
O22938	Q9M2Z4
Q9FRS6	Q9M2Z4
O22938	Q9SK39
Q9C821	Q9C835
Q9C835	Q9ZR79
Q9C835	Q9SD62
Q9C835	Q9LRT1
C0LGT1	Q96283
O22938	Q9SMR4
C0LGT1	Q9SMR4
Q96283	Q9LDN1
Q6R2J8	Q9LMN8
O22833	Q9LMN8
C0LGD9	C0LGW2
C0LGW2	Q9FRS6
Q8GYH9	Q9SU67
Q9C821	Q9XIF4
P38389	Q9LZW4
P38389	Q01474
P53799	Q9C820
Q9FK68	Q9ZUN5
O22476	P93654
Q9FMA3	Q9FXT6
Q9FMA3	Q9XF57
O49629	O81439
Q9LZM8	Q9SVY1
Q38876	Q9SVY1
Q38874	Q9SVY1
P29385	Q9SVY1
Q8RWY5	Q9SSA8
Q8LEU3	Q94AQ9
Q8LDU4	Q94AQ9
O82741	Q93ZA0
O82741	Q8LEU3
O82741	Q9FYC2
O82741	Q8LDU4
Q66WT5	Q94AQ9
O82741	Q94AQ9
Q8GW44	Q8GXA4
O22229	Q96291
Q8LD49	Q9C5R8
Q8LD49	Q96291
O49660	Q2MHE4
Q2MHE4	Q940H6
Q93VT9	Q9FFJ8
Q93VT9	Q9LFS4
Q9SEU8	Q9SMX3
F4IIU4	Q9FHN8
F4HZB2	Q9SJF3
Q8W4J8	Q9FIP9
O49687	Q8W4J8
Q9FIP9	Q9S7M2
Q8LBM2	Q9FIP9
O49687	Q9C5K8
Q9FIP9	Q9LVI4
Q9C5K8	Q9FIP9
O49687	Q8LBM2
Q9C9E3	Q9FIP9
Q9FIP9	Q9M246
Q9FIP9	Q9LDU5
Q93ZM9	Q9FIP9
Q8LBP4	Q9FYL3
Q94F62	Q9ZVR7
Q9XIC7	Q9ZVR7
Q6NKS4	Q9SYX1
Q8LPR9	Q9FI56
Q9FI56	Q9FMD5
Q8RWA2	Q9LZ00
C0LU16	Q9LYW3
Q39057	Q9LQT8
C0LGU7	Q4VP08
C0LGU7	Q9M0G7
C0LGU7	Q8VZG8
Q4VP08	Q9M0G7
Q4VP08	Q8VZG8
Q5Q0E6	Q9M4A2
Q5Q0E6	Q9M4A1
Q9M4A1	Q9M4A2
Q93ZY2	Q9CAJ0
P49597	Q93ZY2
P49598	Q93ZY2
Q93ZY2	Q9M811
Q9SB92	Q9SIG8
Q9FHA7	Q9SIG8
P46639	Q9SIG8
P46640	Q9SIG8
P46600	Q9SIG8
Q38897	Q9SIG8
O82799	Q9SIG8
P94077	Q8LFT2
P94077	Q8S944
O80748	Q8LBM2
Q38828	Q9FKM7
A0A178UQH2	A0A178WL27
Q8H174	Q9FKM7
O80748	Q9SIZ5
Q4PSE2	Q5Q0A4
Q9LN09	Q9SIT9
F4JIJ7	Q0V7X4
Q38832	Q8H174
Q38825	Q8LAL2
Q38831	Q9FKM7
Q9FPE8	Q9XGN1
A8MS70	Q0IGM7
F4K1A8	O82277
O80748	Q9C9X7
O82256	Q4PSE2
Q05153	Q8VYD2
Q8LAT0	Q9SIT9
P93830	Q5XEN5
Q58CM8	Q9SIT9
Q9LKL2	Q9XGN1
F4K162	Q8VZI9
O82617	Q8H1G0
O82277	Q8L8A5
Q5XEN5	Q9LJW5
O81793	Q9LYB9
O04541	Q1JPM3
Q9FIW9	Q9SFV2
Q4PSE2	Q96502
Q05153	Q9ASZ1
P49678	Q9LYB9
O22230	Q9M2V2
O65426	Q9LJG8
Q8S3D1	Q93Y00
A9LNK9	Q9S7W5
Q9ASZ1	Q9M2X3
O80748	Q8GYE4
Q9STJ9	Q9SY66
Q8W4D8	Q9FIW9
Q66GR3	Q9T0B9
O81801	Q9LYB9
Q9LNP6	Q9SMP0
Q9C8Z9	Q9LV17
A0A1I9LTW1	Q9LV59
C0SUU6	Q05153
Q8GXL7	Q9LRH6
A0A178UQH2	Q9LJW3
Q4PSE2	Q67XJ2
Q945M9	Q9SMP0
Q9FLM0	Q9M126
O22264	Q9FGD2
O23379	Q4PSE2
P93007	Q1G3I2
O04292	O82277
A0A178UQH2	Q8H115
Q8H1G0	Q9S7H5
Q58CM8	Q67XJ2
O82343	Q9M126
F4K0Q7	Q9LV59
B9DHT4	C0SV91
F4JIJ7	Q9SK91
P46603	Q8LAV5
O81793	Q5XEN5
Q944I5	Q9SMP0
Q9SFV2	Q9SYG2
F4K1A8	Q8LPR5
Q84MB2	Q9S7H5
Q9SDW0	Q9SFV6
Q4PSE2	Q8RWD0
Q38828	Q38832
Q8VZS3	Q9XGN1
O04027	Q58CM8
C0SUZ3	O82277
A0A178VFA3	O82277
Q4PSE2	Q9M9B3
Q7X9H6	Q9SDW0
O81801	Q5XEN5
P33077	Q38825
Q5PP65	Q9LFC0
O80748	Q9SI38
B9DHT4	Q8L500
O04292	Q9S7W5
C0SUW7	Q9LG15
Q8LPR5	Q9LEZ9
Q9LJ44	Q9LJB7
C0SUU6	Q9SFV2
Q8H1G0	Q9LRH6
Q8L4B2	Q9LQF0
F4K1A8	Q9SIV3
Q9LJB7	Q9SJU5
C0SUZ3	Q9S7W5
Q58CM8	Q9SLG0
P92953	Q8GXM7
C0SUZ3	Q9FME3
Q8LAL2	Q9SFV2
Q58CM8	Q9FGJ3
Q58CM8	Q8VYK4
O80748	Q6X7J9
F4JI72	Q9M2V2
F4JI72	Q8H1G0
O04541	Q9FHZ1
P42777	Q7XJS0
C0SVM5	Q39057
Q9FG01	Q9S7W5
F4JIJ7	Q9C7T4
F4K1A8	Q9C9L2
Q9LJG8	Q9LV59
F4JCN9	Q0V7X4
Q9C7T4	Q9SIZ5
O04292	Q9FME3
F4JRH5	Q8VZI9
A0A178W5Y4	Q9SUT6
F4IPE3	Q9C9X7
O82239	Q945M9
O82343	Q6NLH4
Q39163	Q39234
A0A178VFA3	Q9C9L2
Q38824	Q9XI84
Q4PSE2	Q8LDM8
Q9FDW1	Q9SFV2
C0SVM5	O82617
F4K1A8	Q9FME3
Q944I5	Q9LHG0
O04027	Q4PSE2
Q8VYD2	Q9M2X3
Q9S7M2	Q9ZVC9
Q5Q0A4	Q8L4B2
Q9LHF0	Q9SFV2
Q8LG05	Q9LST3
O04027	Q9SIT9
A1YKT1	Q8L4B2
O65154	O65155
Q9XGN1	Q9ZUU0
Q39057	Q6NLH4
F4JI72	Q9SZJ6
Q8LAL2	Q9LV59
O64647	Q9FMX2
Q8L8A5	Q9S7W5
F4K1A8	Q9FMX2
Q9LXU1	Q9XFM0
Q1G3I2	Q1G3Q4
O65517	O82277
O80748	Q9MAI5
A0A178U8Q1	Q8L4B2
P43273	Q9ASZ1
Q9LK48	Q9M0B9
A0A178U8Q1	Q9SMP0
Q9C9L2	Q9FMX2
Q05466	Q8GXM7
O82617	Q9SJU5
A0A178VFA3	Q8LPR5
Q38828	Q9C5W9
Q93Y00	Q94JL3
O82248	Q58CM8
O24409	Q9ZSY8
Q8VZI9	Q9LN09
F4IP06	O64722
Q39204	Q9SFV2
Q8L8A5	Q9C9L2
C0SUW7	Q940Y3
Q9LQF0	Q9LXU1
F4JY84	O23210
Q93Z00	Q9LDT3
Q8VYU9	Q9FGJ3
O23090	Q9S709
Q93Z00	Q9C9N3
Q9ASZ1	Q9LST3
Q9LM84	Q9MAL9
O23077	Q9LST3
C0SUW7	Q8VZ17
O23379	Q9LJB7
Q1G3Q4	Q9C6K4
Q4PSE2	Q9LJ44
A0A178UQH2	Q9ASZ1
Q0V7X4	Q9FLI1
Q9FH80	Q9SLA1
Q8LPR5	Q9S7W5
F4JI72	P46897
A0A178VFA3	Q9S7W5
F4I4E1	Q0V7X4
Q4PSE2	Q8VYK4
P46897	Q8LA53
Q38829	Q38832
Q3E7I5	Q9LU92
Q8L8A5	Q93Z00
P43273	Q9SFV2
P93751	Q9S7W5
O80748	Q9C9A5
O04292	Q8LPR5
O24409	P49678
Q8GXR6	Q9LV59
A0A1P8AWD1	O80748
O81316	Q9SAK5
P46602	Q8GXM7
F4K1A8	O82239
P49592	Q9LHG0
Q8LAJ7	Q9SCR0
P49677	Q38828
Q5XVH0	Q9LXD8
F4K1A8	Q93Z00
O23090	Q9FG01
C0SUZ3	Q8LPR5
O80748	Q9SJJ0
Q9S7W5	Q9SFD5
Q9LK48	Q9LV17
Q67ZF8	Q8L4B2
P33078	Q8LAL2
O80748	Q9SN23
O82617	Q8RWD0
Q9LNJ5	Q9S7M2
Q4PSE2	Q9C9A9
Q84JG2	Q8VYD2
P59467	Q8VZI9
O82617	Q8GXL7
F4K5T4	Q9FLF7
O80917	Q9T0B9
Q9MAL9	Q9ZQ12
O04541	Q9SQX9
A0A178UQH2	Q8VYD2
Q8L500	Q9XGN1
Q8L4B2	Q9C9L2
P93830	Q8L7G0
O80748	Q9SI19
Q9CAA4	Q9FMB6
Q9S7W5	Q9XI84
Q38828	Q38829
Q38822	Q38824
O81836	O82277
O23310	Q58CM8
Q84MB2	Q9XI84
Q5CCK4	Q94AY3
O80482	Q9LV17
O80748	Q9SB92
F4JI72	Q8VYD2
Q0IGM7	Q9FHZ1
A0A178WP44	Q8RU59
Q4PSE2	Q9LDL9
Q38824	Q38832
Q8GXR6	Q9SYG2
Q8LPR5	Q9SZJ6
Q9M7Q5	Q9XI84
Q93Z68	Q9SZL8
C0SVS4	Q9SCR0
Q8L8A5	Q9LM84
Q8LPR5	Q9C9H1
Q501D3	Q8LAL2
Q9FXH7	Q9SI19
Q05466	Q9SFV2
C0SVM5	Q9LJB7
P29382	Q9M0U1
Q96288	Q9LJB7
Q8L4B2	Q93Z00
Q8VYD2	Q9LST3
F4JI72	Q9SFV2
P43273	Q9SFV6
A0A178VFA3	Q93Z00
F4K5X6	Q9ZW73
Q9FLM0	Q9FMR3
Q9C9H1	Q9C9L2
A8MS70	Q9LQZ7
O04292	Q93Z00
Q8LPR5	Q9SB92
O82343	Q9FVC1
Q8L8A5	Q9SJR5
O50055	O82617
F4K5X6	O64722
Q38822	Q38828
Q9C995	Q9M2V2
Q9LU68	Q9SFV2
A0A178VFA3	Q9FTA2
Q9LT89	Q9LXU1
O80748	O82595
P49678	Q8LAL2
Q9M9X4	Q9SMP0
A0A1I9LTW1	Q9SFV2
A0A178VFA3	Q38897
O04027	Q8L4B2
Q7XHI9	Q9LV17
Q9FY69	Q9XIN0
Q9SDW0	Q9SFV2
O82617	Q0IGM7
Q4PSE2	Q9SIT9
O81793	Q8LA53
Q8GXT3	Q93Y00
Q8L4B2	Q9FMX2
Q93VH6	Q9ZQ12
Q0IGM7	Q9LJB7
Q9LV59	Q9SDW0
Q29PT3	Q9FUD3
Q05153	Q9LPF0
P46603	Q8GXM7
F4KGY6	Q0WNR6
Q8GY61	Q9LV17
Q9SIT9	Q9SMP0
Q9MAL9	Q9SJR5
Q8L4B2	Q9LKL2
Q9FTA2	Q9T0B9
Q9LV59	Q9SYG2
C0SV91	Q9XGN1
Q8LAL2	Q9FKM7
O23090	Q9FMY5
Q8L4B2	Q9SLG0
Q8L4B2	Q945M9
Q9LK48	Q9SKX1
Q38828	Q8LAL2
C0SUZ3	Q8VWG0
Q9C6K4	Q9FJ91
Q8LAL2	Q9ZSY8
O23379	O81834
O80450	Q9LST3
O22230	Q9SDW0
O82239	Q8LPR5
F4JI72	Q9LNJ5
C0SUZ3	Q93Z00
Q8S3D2	Q9SIZ5
Q9C517	Q9LST3
Q9C8Z9	Q9LK48
Q38822	Q8LAL2
Q8L8A8	Q9C9L2
O82256	O82617
Q8VZI9	Q9SN74
Q9FMY7	Q9LJW5
Q8LPR5	Q9C7T4
O04017	Q9SFV2
O80450	Q9LV59
A0A178U8Q1	Q93Z00
O82277	Q9SB92
C0SUZ3	Q0WPF2
Q9LVI4	Q9XGN1
C0SUW7	Q6DBN1
A9LNK9	Q93Z00
Q84VG7	Q9S7W5
A0A178VFA3	Q84MB2
Q9FMX2	Q9LT89
Q1PF16	Q9FL64
A1YKT1	Q9LXU1
B9DHT4	Q9FIQ4
O80450	Q9LR91
C0SUZ3	Q9FY69
Q38824	Q8LAL2
O81002	Q9FUD3
F4KGY6	O80748
O80748	Q9LNV5
Q93VH6	Q9LM84
A0MFC4	Q7XJK8
Q9FPW6	Q9SFV2
Q9FIW9	Q9SFV6
F4JI72	Q9C6K4
O80748	P93751
Q39057	Q4PSE2
Q8L4B2	Q9SIT9
Q8L4B2	Q9M9X4
Q9LDT3	Q9SIV3
Q9LDT3	Q9S7W5
Q7XJU1	Q93Y00
O80748	Q93WJ9
Q67XJ2	Q9SMP0
O23379	Q6NLH4
P94077	Q9FNN6
O50055	Q4PSE2
Q8RU59	Q9S7W5
O23063	Q9LYB9
O81834	Q39057
F4K162	Q944I5
Q7X9I0	Q9LM46
O80748	Q9C5T3
Q9C9L2	Q9FME3
O24646	Q0IGM7
Q0IGM7	Q39057
Q8L4B2	Q8VYK4
Q0V7X4	Q9LQ08
Q93Z00	Q9SEZ3
Q8LPR5	Q9LQZ5
Q9C9L2	Q9LXU1
Q38831	Q8LAL2
Q8VZI9	Q9LXU1
Q93Z00	Q9FMX2
Q8L8A8	Q9MAL9
O64647	Q8L4B2
Q8L4B2	Q9LVJ7
Q9C6K4	Q9LST3
A9LNK9	O82239
Q8RU59	Q9FNB9
O82277	Q9SLA1
O24646	Q96288
F4K0Q7	Q8VZI9
Q9SLG0	Q9SMP0
Q8S3D2	Q9FY69
Q1G3I2	Q8H1P9
F4K162	P49592
Q9FGJ3	Q9LN09
F4IPE3	O80748
O64722	Q9M128
Q1G3I2	Q9SJU5
Q0V7X4	Q9FYE6
P49677	Q38831
C0SVS4	O23210
Q8VZ22	Q93Y00
Q5BPS2	Q8L4B2
Q8L4B2	Q9FTA2
Q9FME3	Q9SFV2
F4K0Q7	Q8GXR6
B2GVM8	Q700D0
Q9ASX9	Q9FGB0
F4JI72	O80450
Q8VZI9	Q9LV59
F4JI72	Q93XW7
Q9LV17	Q9LXD8
O04292	Q84MB2
F4I3E6	Q9ZUG9
O82277	Q9C7T4
O24646	O82617
Q8VZI9	Q9SYG2
O64722	Q9T0B9
Q9LJX1	Q9M0B9
Q84WK0	Q9LV17
O04027	Q9SMP0
Q6X7J9	Q9S7W5
O82277	Q9LQZ5
O82277	Q9ZW36
Q8LAL2	Q94JM3
Q6NLH4	Q9C7E8
Q9SFV2	Q9SZJ6
Q0V7X4	Q1PF17
Q8GZA8	Q8L5W8
F4JI72	F4K5X6
Q7XHI5	Q93Y00
O04292	P92953
C0SUZ3	Q9SVX5
D3GKW6	Q9FH80
P46639	Q84JG2
O82239	P93751
Q940Y3	Q96288
O64722	Q9FG01
O82277	Q9LXD8
Q8L4B2	Q9LRH6
F4I9R1	O04292
Q6X7J9	Q93Z00
Q8GXL7	Q9S763
P46604	Q8GXM7
Q8S3D2	Q9FG01
B3H506	Q9FLM0
Q0WPF2	Q9LNV5
Q8LPR5	Q9C9N3
O82277	Q9ZVP8
Q9S7W5	Q9ZW36
Q9LID0	Q9ZSY8
A0A178VFA3	Q9FMX2
O04292	Q38828
Q38828	Q9LXU1
F4K1A8	Q9LQF0
Q1JPM3	Q945S8
A0A178VFA3	Q94KL5
Q8L8A6	Q9MAL9
Q8L4B2	Q8LPR5
A0A178WKB2	Q8LPR5
O80748	Q8H1D2
F4IP06	Q9SDW0
Q56XR0	Q84WP6
P46600	Q9SFV2
Q9FPW6	Q9SFV6
Q9FHA2	Q9SND4
Q8LA53	Q9LNJ5
A9LNK9	Q9SFV2
Q38824	Q9FKM7
F4K0Q7	Q9SYG2
O80748	Q84WI0
Q38826	Q38831
O82277	Q9LXU1
Q6NLH4	Q96502
Q9FMB6	Q9LEZ3
B3H6R4	Q93Z00
P94077	Q9FFH0
B3H506	F4JI72
Q501D3	Q84MB2
C0SUZ3	F4JI72
Q6X7J9	Q9ZVC9
F4K5T4	Q5XEN5
Q9FHA2	Q9FHA7
F4I3E6	Q93Y00
O80340	Q9C9L2
P46600	Q8GXM7
Q0WNR6	Q8VZ17
O82277	Q84VG7
O82277	Q9FME3
F4JI72	Q9ZW73
O82256	Q8L4B2
Q8VYK4	Q9SMP0
B9DHT4	Q0WUB8
Q7XHI9	Q9C8Z9
O64722	Q9LV59
O82277	Q39237
Q4PSE2	Q9SLG0
Q9S7W5	Q9SZJ6
Q9FMC2	Q9S7W5
O04017	Q8LPR5
O23487	Q9LNJ5
Q9LNV5	Q9S7W5
Q8L4B2	Q9C518
Q38824	Q38831
Q9CAA4	Q9LEZ3
Q8VY64	Q9SMP0
Q94JM3	Q9C5W9
Q1G3Q4	Q9LMN5
O65426	O80748
O82617	Q9SK53
O64722	Q9SIT9
Q9M7Q2	Q9SJN0
F4JI72	Q9SIZ5
Q94C37	Q9FHR7
Q5XVH0	Q9C707
F4K5X6	O80450
O65517	Q8LPR5
Q8LPR5	Q9FMC2
O24409	Q38825
O23063	Q8LA53
Q8L4B2	Q9LNP6
A9LNK9	Q8LPR5
Q8GXR6	Q9LST3
Q4PSE2	Q9LU68
C0SUZ3	Q9LNE0
C0SUW7	F4JFG2
Q39234	Q8L746
O80748	Q39261
Q93Z00	Q9LQZ5
F4JI72	Q8VZI9
F4K5X6	Q9SDW0
Q8L8A7	Q9MAL9
B9DHT4	Q93V70
Q38874	Q93Z00
Q93Z00	Q9C9H1
Q8LPR5	Q94JW8
Q7X887	Q93Z00
Q0V7X4	Q8RU59
Q38826	Q8LAL2
Q8GXL7	Q9ZVC9
Q9FMX2	Q9LXU1
Q38828	Q8RYC6
Q8RYC8	Q9ZSY8
Q9FPE8	Q9SFV2
Q945M9	Q94ID6
F4K1A8	Q9C518
O64722	Q9SFD5
F4K1A8	Q9S7W5
Q8VZI9	Q9LJG8
B9DHT4	Q1PDT6
P93830	Q38829
Q9FPW6	Q9FX77
A9LNK9	Q5XVH0
O64647	Q9LQF0
Q6X7J9	Q8LPR5
P49678	Q38824
Q5XVH0	Q7XHI9
Q5XVH0	Q84WK0
Q84MB2	Q9SN22
Q0WNR6	Q96288
A8MS70	Q96288
F4K5X6	Q9SK91
Q9LDT3	Q9M9A3
Q93VJ4	Q9C9L2
Q93Z00	Q9FME3
F4JI72	Q39234
O80340	Q9C518
Q8LA53	Q9SYA9
O82239	Q9LXU1
Q8LPR5	Q9LXU1
Q4PSE2	Q9FMX2
Q67XJ2	Q8L4B2
Q9C9L2	Q9LDT3
Q1PF17	Q8S3F1
Q93VH6	Q9SJR5
P93751	Q8LPR5
A0A178VFA3	Q9FME3
O82617	Q96288
Q9LJG8	Q9SYG2
F4K1A8	O80748
Q7XJU1	Q9ZUG9
F4K5X6	O82277
Q38829	Q38831
Q9LFQ1	Q9SQX9
Q700D0	Q8VZI9
